,risk_index
2016-01-20,17.123802
2016-01-21,17.123802
2016-01-22,17.123802
2016-01-25,17.123802
2016-01-26,17.123802
2016-01-27,17.123802
2016-01-28,17.123802
2016-01-29,17.123802
2016-02-01,17.123802
2016-02-02,17.123802
2016-02-03,16.96366
2016-02-04,16.53043
2016-02-05,20.14355
2016-02-08,17.27831
2016-02-09,23.376863
2016-02-10,25.868132
2016-02-11,39.479866
2016-02-12,38.691467
2016-02-15,40.809326
2016-02-16,38.100464
2016-02-17,34.12045
2016-02-18,20.743084
2016-02-19,16.583378
2016-02-22,15.635772
2016-02-23,17.001936
2016-02-24,17.128061
2016-02-25,17.377386
2016-02-26,17.526236
2016-02-29,18.924006
2016-03-01,18.773048
2016-03-02,18.773048
2016-03-03,18.500822
2016-03-04,18.603357
2016-03-07,18.773048
2016-03-08,20.381714
2016-03-09,19.064949
2016-03-10,18.851353
2016-03-11,17.537748
2016-03-14,19.941982
2016-03-15,17.644714
2016-03-16,15.425578
2016-03-17,14.873382
2016-03-18,15.625746
2016-03-21,15.502794
2016-03-22,16.89108
2016-03-23,23.55499
2016-03-24,19.782
2016-03-25,18.2799
2016-03-28,17.810497
2016-03-29,19.87909
2016-03-30,17.729412
2016-03-31,16.497818
2016-04-01,16.522411
2016-04-04,16.323776
2016-04-05,16.721231
2016-04-06,16.709667
2016-04-07,18.399803
2016-04-08,22.818035
2016-04-11,25.545996
2016-04-12,23.426369
2016-04-13,24.72207
2016-04-14,19.563711
2016-04-15,17.463667
2016-04-18,15.112124
2016-04-19,15.299379
2016-04-20,16.453316
2016-04-21,17.111032
2016-04-22,17.046684
2016-04-25,17.595537
2016-04-26,17.226824
2016-04-27,17.312046
2016-04-28,18.369009
2016-04-29,17.974892
2016-05-02,19.371578
2016-05-03,29.818954
2016-05-04,34.709507
2016-05-05,32.497692
2016-05-06,33.733734
2016-05-09,33.946793
2016-05-10,22.558865
2016-05-11,19.551273
2016-05-12,18.211922
2016-05-13,21.4617
2016-05-16,20.377903
2016-05-17,24.908743
2016-05-18,26.068562
2016-05-19,30.711712
2016-05-20,25.653667
2016-05-23,23.965742
2016-05-24,20.903545
2016-05-25,18.507946
2016-05-26,15.432712
2016-05-27,15.993864
2016-05-30,17.171232
2016-05-31,17.794067
2016-06-01,17.14852
2016-06-02,17.233742
2016-06-03,17.312046
2016-06-06,17.405722
2016-06-07,17.969404
2016-06-08,16.907074
2016-06-09,16.130283
2016-06-10,20.543673
2016-06-13,42.08204
2016-06-14,52.004997
2016-06-15,58.622166
2016-06-16,65.37685
2016-06-17,72.43051
2016-06-20,58.881283
2016-06-21,43.31284
2016-06-22,41.165356
2016-06-23,39.11307
2016-06-24,63.5606
2016-06-27,69.96435
2016-06-28,54.422028
2016-06-29,46.79673
2016-06-30,44.618187
2016-07-01,21.118591
2016-07-04,21.038725
2016-07-05,29.28829
2016-07-06,21.100555
2016-07-07,21.139011
2016-07-08,21.026989
2016-07-11,20.619335
2016-07-12,19.923958
2016-07-13,19.797642
2016-07-14,19.6335
2016-07-15,19.265547
2016-07-18,18.968815
2016-07-19,18.968815
2016-07-20,18.429363
2016-07-21,18.71136
2016-07-22,17.845556
2016-07-25,16.979149
2016-07-26,18.262594
2016-07-27,19.79294
2016-07-28,20.91961
2016-07-29,20.292767
2016-08-01,18.650822
2016-08-02,17.518986
2016-08-03,18.660872
2016-08-04,18.989628
2016-08-05,18.837896
2016-08-08,15.629014
2016-08-09,15.370314
2016-08-10,15.112124
2016-08-11,15.696203
2016-08-12,16.507233
2016-08-15,17.216562
2016-08-16,17.247742
2016-08-17,17.221272
2016-08-18,16.720015
2016-08-19,16.28376
2016-08-22,16.09144
2016-08-23,15.967163
2016-08-24,17.887867
2016-08-25,20.289984
2016-08-26,33.22486
2016-08-29,34.57598
2016-08-30,39.538197
2016-08-31,41.17501
2016-09-01,37.83078
2016-09-02,23.629072
2016-09-05,21.031504
2016-09-06,19.987135
2016-09-07,19.659086
2016-09-08,19.35492
2016-09-09,31.376364
2016-09-12,39.17641
2016-09-13,49.739624
2016-09-14,60.715466
2016-09-15,77.176674
2016-09-16,72.88858
2016-09-19,50.929924
2016-09-20,53.9788
2016-09-21,36.390945
2016-09-22,19.743078
2016-09-23,20.12553
2016-09-26,20.823603
2016-09-27,18.750038
2016-09-28,18.982857
2016-09-29,20.528887
2016-09-30,20.428905
2016-10-03,19.446434
2016-10-04,20.760696
2016-10-05,18.627638
2016-10-06,18.712759
2016-10-07,17.999432
2016-10-10,17.426174
2016-10-11,17.134579
2016-10-12,25.484215
2016-10-13,38.677658
2016-10-14,47.391273
2016-10-17,54.28411
2016-10-18,47.669376
2016-10-19,45.123726
2016-10-20,31.375042
2016-10-21,19.080233
2016-10-24,17.29172
2016-10-25,16.793732
2016-10-26,17.550404
2016-10-27,18.039345
2016-10-28,20.705654
2016-10-31,25.83534
2016-11-01,51.35519
2016-11-02,58.847153
2016-11-03,61.20218
2016-11-04,73.68936
2016-11-07,66.203445
2016-11-08,61.948196
2016-11-09,53.680603
2016-11-10,43.368675
2016-11-11,46.06225
2016-11-14,92.3602
2016-11-15,48.25177
2016-11-16,100.0
2016-11-17,100.0
2016-11-18,16.948402
2016-11-21,13.139406
2016-11-22,83.34065
2016-11-23,21.439995
2016-11-24,22.407879
2016-11-25,27.648785
2016-11-28,22.5155
2016-11-29,21.832468
2016-11-30,21.552336
2016-12-01,22.081833
2016-12-02,21.065483
2016-12-05,20.167583
2016-12-06,21.582043
2016-12-07,22.001137
2016-12-08,18.956879
2016-12-09,17.057295
2016-12-12,16.86773
2016-12-13,17.839243
2016-12-14,20.541067
2016-12-15,26.481531
2016-12-16,22.472885
2016-12-19,22.33226
2016-12-20,17.953104
2016-12-21,18.111956
2016-12-22,20.162128
2016-12-23,20.372643
2016-12-26,21.637184
2016-12-27,21.76817
2016-12-28,27.184395
2016-12-29,30.905937
2016-12-30,39.64946
2017-01-02,34.64901
2017-01-03,41.53967
2017-01-04,38.55803
2017-01-05,24.734774
2017-01-06,22.72083
2017-01-09,18.776165
2017-01-10,18.93608
2017-01-11,20.487097
2017-01-12,20.188488
2017-01-13,20.260696
2017-01-16,20.731602
2017-01-17,20.284185
2017-01-18,20.121254
2017-01-19,23.617203
2017-01-20,22.951153
2017-01-23,22.420494
2017-01-24,22.499344
2017-01-25,17.859598
2017-01-26,19.042618
2017-01-27,18.094799
2017-01-30,19.47543
2017-01-31,19.959938
2017-02-01,19.965965
2017-02-02,23.273714
2017-02-03,24.283197
2017-02-06,19.239002
2017-02-07,17.541859
2017-02-08,17.391985
2017-02-09,15.344544
2017-02-10,15.531799
2017-02-13,16.461185
2017-02-14,17.042095
2017-02-15,17.222937
2017-02-16,19.569757
2017-02-17,19.855042
2017-02-20,19.152426
2017-02-21,19.562702
2017-02-22,20.496485
2017-02-23,19.238287
2017-02-24,17.718027
2017-02-27,19.115536
2017-02-28,19.81473
2017-03-01,23.285858
2017-03-02,23.987448
2017-03-03,21.475782
2017-03-06,20.400229
2017-03-07,17.645258
2017-03-08,17.68722
2017-03-09,19.497557
2017-03-10,19.995234
2017-03-13,19.744709
2017-03-14,20.088636
2017-03-15,19.618713
2017-03-16,18.895346
2017-03-17,16.764757
2017-03-20,16.324827
2017-03-21,17.175713
2017-03-22,19.926851
2017-03-23,23.926552
2017-03-24,29.692318
2017-03-27,37.018696
2017-03-28,30.37111
2017-03-29,19.668053
2017-03-30,17.523628
2017-03-31,17.230946
2017-04-03,17.543701
2017-04-04,18.69764
2017-04-05,19.848612
2017-04-06,23.590218
2017-04-07,24.219809
2017-04-10,24.651386
2017-04-11,35.50224
2017-04-12,38.722248
2017-04-13,43.872246
2017-04-14,43.621002
2017-04-17,46.21395
2017-04-18,39.225227
2017-04-19,39.32422
2017-04-20,37.15386
2017-04-21,33.78908
2017-04-24,22.39208
2017-04-25,20.80143
2017-04-26,19.12196
2017-04-27,18.772806
2017-04-28,18.866482
2017-05-01,19.921223
2017-05-02,19.599894
2017-05-03,18.603357
2017-05-04,18.89051
2017-05-05,19.152216
2017-05-08,18.68166
2017-05-09,18.597092
2017-05-10,17.648174
2017-05-11,17.257858
2017-05-12,17.362417
2017-05-15,15.801548
2017-05-16,16.86647
2017-05-17,35.567726
2017-05-18,47.099464
2017-05-19,45.982002
2017-05-22,46.0586
2017-05-23,45.879093
2017-05-24,34.225998
2017-05-25,15.764836
2017-05-26,15.234542
2017-05-29,15.299379
2017-05-30,17.23574
2017-05-31,17.23574
2017-06-01,17.190327
2017-06-02,17.369225
2017-06-05,18.165617
2017-06-06,19.00231
2017-06-07,18.580318
2017-06-08,18.580318
2017-06-09,18.711233
2017-06-12,18.469315
2017-06-13,16.610245
2017-06-14,15.75891
2017-06-15,22.077492
2017-06-16,19.442307
2017-06-19,17.886738
2017-06-20,18.900616
2017-06-21,18.814104
2017-06-22,17.770554
2017-06-23,17.322906
2017-06-26,17.434238
2017-06-27,19.07697
2017-06-28,18.46311
2017-06-29,19.39637
2017-06-30,19.794346
2017-07-03,25.672432
2017-07-04,24.152395
2017-07-05,20.761333
2017-07-06,35.15074
2017-07-07,32.258877
2017-07-10,27.778933
2017-07-11,21.72139
2017-07-12,19.759624
2017-07-13,17.424162
2017-07-14,15.70455
2017-07-17,16.363241
2017-07-18,16.735806
2017-07-19,17.233742
2017-07-20,17.070457
2017-07-21,18.087313
2017-07-24,18.087313
2017-07-25,19.00231
2017-07-26,19.00231
2017-07-27,18.687298
2017-07-28,18.750011
2017-07-31,18.264587
2017-08-01,18.571827
2017-08-02,17.988033
2017-08-03,19.197535
2017-08-04,19.291668
2017-08-07,18.701797
2017-08-08,19.516275
2017-08-09,21.606941
2017-08-10,39.93529
2017-08-11,46.118675
2017-08-14,58.1529
2017-08-15,61.643158
2017-08-16,64.35459
2017-08-17,44.157734
2017-08-18,37.80526
2017-08-21,37.218575
2017-08-22,38.18668
2017-08-23,42.442013
2017-08-24,37.008015
2017-08-25,21.648455
2017-08-28,18.983292
2017-08-29,19.102037
2017-08-30,20.29338
2017-08-31,20.704025
2017-09-01,20.571732
2017-09-04,20.428905
2017-09-05,18.897955
2017-09-06,18.754314
2017-09-07,19.303173
2017-09-08,18.832619
2017-09-11,18.943588
2017-09-12,18.1269
2017-09-13,15.408447
2017-09-14,15.378823
2017-09-15,15.30052
2017-09-18,15.228308
2017-09-19,15.513631
2017-09-20,16.87194
2017-09-21,17.2516
2017-09-22,16.8478
2017-09-25,16.930046
2017-09-26,17.744463
2017-09-27,17.608702
2017-09-28,17.88111
2017-09-29,17.693853
2017-10-02,16.747553
2017-10-03,16.29234
2017-10-04,16.489685
2017-10-05,17.039602
2017-10-06,17.588867
2017-10-09,18.35808
2017-10-10,21.819664
2017-10-11,18.333698
2017-10-12,17.988033
2017-10-13,18.90003
2017-10-16,17.40121
2017-10-17,17.40121
2017-10-18,18.701797
2017-10-19,18.881681
2017-10-20,19.012926
2017-10-23,20.209934
2017-10-24,34.972767
2017-10-25,41.25296
2017-10-26,39.65177
2017-10-27,39.42283
2017-10-30,36.22975
2017-10-31,19.826872
2017-11-01,19.34108
2017-11-02,17.795532
2017-11-03,16.731434
2017-11-06,17.136408
2017-11-07,17.238243
2017-11-08,17.377386
2017-11-09,17.233742
2017-11-10,17.327417
2017-11-13,30.13705
2017-11-14,28.239134
2017-11-15,41.76667
2017-11-16,42.38746
2017-11-17,44.89814
2017-11-20,35.70014
