date,Regime_1,Regime_2,Regime_3,Regime_4
2017-04-01,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-02,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-03,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-04,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-05,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-06,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-07,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-08,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-09,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-10,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-11,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-12,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-13,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-14,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-15,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-16,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-17,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-18,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-19,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-20,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-21,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-22,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-23,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-24,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-25,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-26,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-27,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-28,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-29,1.0,0.0,0.0,4.5693098047453534e-58
2017-04-30,1.0,0.0,0.0,4.5693098047453534e-58
2017-05-01,0.9999999999917009,0.0,0.0,8.30078443242616e-12
2017-05-02,0.9999999999917009,0.0,0.0,8.30078443242616e-12
2017-05-03,0.9999999999917009,0.0,0.0,8.30078443242616e-12
2017-05-04,0.9999999999917009,0.0,0.0,8.30078443242616e-12
