date,Regime_1,Regime_2,Regime_3,Regime_4
2017-04-01,1.0,0.0,0.0,4.5693098047453534e-58
2017-05-01,0.9999999999917009,0.0,0.0,8.30078443242616e-12
2017-09-01,0.9999999999986926,0.0,0.0,1.3022341993073396e-12
2017-12-01,0.9999999999999005,0.0,0.0,1.0458933695409015e-13
2018-01-01,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-02-01,1.0,0.0,0.0,1.655993144452358e-16
2018-03-01,1.0,0.0,0.0,3.3218634893867287e-18
2018-05-01,1.0,0.0,0.0,5.897854888904015e-16
2018-06-01,1.0,0.0,0.0,5.958291932070193e-16
2018-07-01,1.0,0.0,0.0,3.118938616584011e-16
2018-12-01,0.9999999999951967,0.0,0.0,4.799491644585942e-12
2019-01-01,0.9999999999702709,0.0,0.0,2.972573545364776e-11
2019-09-01,1.0,0.0,0.0,3.650999884527234e-18
2019-10-01,1.0,0.0,0.0,3.447913664673332e-23
2019-11-01,1.0,0.0,0.0,3.87337248115227e-29
2019-12-01,1.0,0.0,0.0,1.8175508288257895e-27
2020-01-01,1.0,0.0,0.0,8.614037154459543e-63
2020-02-01,4.234646616648324e-35,0.0,1.0,7.081432336014093e-37
2020-03-01,1.0,0.0,0.0,1.4083111382310165e-51
2020-04-01,1.0,0.0,0.0,2.5665879680852024e-15
2020-05-01,0.9999999998662474,0.0,0.0,1.337557665191998e-10
2020-07-01,0.999999999841279,0.0,0.0,1.5871525690114358e-10
2020-12-01,0.9999915786151132,0.0,0.0,8.421384886831256e-06
2021-01-01,0.9999906271939373,0.0,0.0,9.372806059884148e-06
2021-02-01,0.9999891490750873,0.0,0.0,1.0850924913854135e-05
2021-03-01,0.9999967565123477,0.0,0.0,3.243487655896828e-06
2021-04-01,0.9999999985889616,0.0,0.0,1.411041793378469e-09
2021-06-01,0.9999999999931788,0.0,0.0,6.822865773346511e-12
2021-07-01,0.9999999999648708,0.0,0.0,3.512713187481041e-11
2021-09-01,0.9999999924670533,0.0,0.0,7.532939687378183e-09
2021-10-01,0.9999999997240963,0.0,0.0,2.759079746799796e-10
2021-11-01,1.0,0.0,0.0,6.737751806780274e-16
2021-12-01,0.9999999999570832,0.0,0.0,4.2916059193822556e-11
2022-01-01,0.999999877569572,0.0,0.0,1.224304316319477e-07
2022-02-01,0.9999999979250163,0.0,0.0,2.074979908527342e-09
2022-03-01,0.9999998356100257,0.0,0.0,1.6438997750083923e-07
2022-04-01,0.999998894564328,0.0,0.0,1.105435670614595e-06
2022-05-01,0.9999983611039981,0.0,0.0,1.638895999675724e-06
2022-06-01,0.999993134952834,0.0,0.0,6.865047158951885e-06
2022-07-01,0.9995773346048125,0.0,0.0,0.00042266539518907734
2022-08-01,0.9784440103113295,0.0,0.0,0.02155598968866551
2022-10-01,0.09091291165161038,0.0,0.0,0.9090870883483947
2022-11-01,0.0003791821898271163,0.0,0.0,0.9996208178101779
2022-12-01,4.87778300807161e-07,0.0,0.0,0.9999995122216969
2023-01-01,6.491007862695654e-08,0.0,0.0,0.9999999350899195
2023-02-01,4.858666078118421e-09,0.0,0.0,0.9999999951413372
2023-03-01,7.121489369381722e-09,5.68350239043377e-293,0.0,0.9999999928785144
2023-04-01,1.0058319173079456e-08,1.317653569126123e-235,0.0,0.9999999899416849
2023-05-01,1.628431591118169e-08,1.4199276414091205e-179,0.0,0.9999999837156822
2023-08-01,5.748331026765156e-08,1.248367766491386e-131,0.0,0.9999999425166964
2023-09-01,8.7803629495522e-08,6.127101996971472e-93,0.0,0.9999999121963764
2023-12-01,3.2043589252985504e-08,4.6906078958523913e-57,0.0,0.9999999679564132
2024-01-01,1.0762257363937536e-39,1.750734929412786e-22,0.0,1.0
2024-02-01,3.01726624508132e-44,1.0,0.0,1.1901380356226996e-32
2024-03-01,9.256892323774022e-70,1.0,0.0,3.0172662450817056e-44
2024-04-01,2.847977095271955e-77,1.0,0.0,9.256892038976053e-70
2024-05-01,1.8317524077416055e-86,1.0,0.0,2.847977093440184e-77
2024-06-01,8.317815905376903e-111,1.0,0.0,1.8317524077416055e-86
2024-07-01,1.1684196509287439e-120,1.0,0.0,8.317815904208108e-111
2024-08-01,4.0067176544705666e-129,1.0,0.0,1.1684196469220074e-120
2024-09-01,3.339341598270618e-144,1.0,0.0,4.006717654470339e-129
2024-10-01,5.75685357509734e-157,1.0,0.0,3.339341598270049e-144
2024-11-01,3.3356486824493234e-171,1.0,0.0,5.7568535750970126e-157
2024-12-01,2.8638846251479787e-176,1.0,0.0,3.335620043603066e-171
2025-01-01,3.9051084787710855e-185,1.0,0.0,2.8638846212429003e-176
2025-02-01,1.8968116861680914e-196,1.0,0.0,3.905108478752439e-185
2025-03-01,2.6733104563738254e-216,1.0,0.0,1.8968116866185685e-196
2025-04-01,4.413621530865543e-231,1.0,0.0,2.673310456413639e-216
2025-05-01,1.0098747866923591e-240,1.0,0.0,4.413621529854977e-231
2025-06-01,7.594441923730316e-258,1.0,0.0,1.0098747866923591e-240
2025-07-01,9.68184644639486e-266,1.0,0.0,7.59444182691084e-258
2025-08-01,8.027096207631275e-280,1.0,0.0,9.68184644639376e-266
2025-09-01,8.136032429879332e-293,1.0,0.0,8.027096207978054e-280
2025-10-01,8.136032328337246e-293,1.0,0.0,1.0154184397899307e-300
2025-11-01,8.136032328337246e-293,1.0,0.0,8.53579399394e-313
