date,vix_ma_ratio,dxy,dxy_change
2016-02-01,0.9197229187029877,115.3331,-0.0020766077919515125
2016-02-02,0.9128205128205127,115.553,0.0019066512562309068
2016-02-03,0.8960587081672677,114.6144,-0.008122679636184182
2016-02-04,0.8888234551802466,113.6012,-0.008840075941591974
2016-02-05,0.918687348316978,114.2935,0.006094125766276992
2016-02-08,0.971576008797902,114.4351,0.0012389155988750122
2016-02-09,1.0053885661362296,114.127,-0.0026923557544844545
2016-02-10,1.0361244518688661,114.2877,0.0014080804717551132
2016-02-11,1.0821468598231705,114.1845,-0.0009029843106476143
2016-02-12,1.095619425993751,114.2992,0.0010045146232631197
2016-02-16,1.0865184444999583,114.4905,0.001673677506054183
2016-02-17,1.0595442910494735,113.8634,-0.005477310344526365
2016-02-18,1.0334204431979945,113.8897,0.00023097852338871405
2016-02-19,0.9815935071365524,113.9558,0.0005803861104207719
2016-02-22,0.935716607084823,113.8232,-0.0011636090484204997
2016-02-23,0.9148741219075875,114.177,0.0031083294091187597
2016-02-24,0.9045116075339465,114.1716,-4.7294989358737105e-05
2016-02-25,0.8901458241272645,113.9222,-0.0021844311545077266
2016-02-26,0.8889086424142758,114.3708,0.003937775078079575
2016-02-29,0.8986099391570813,114.2418,-0.0011279102708033895
2016-03-01,0.8739008168548855,113.9265,-0.002759935505217803
2016-03-02,0.850779610533204,113.7965,-0.0011410865777498058
2016-03-03,0.8383916754141755,113.2482,-0.004818250121928158
2016-03-04,0.8207921706213646,112.6387,-0.005381983996213591
2016-03-07,0.8024156737904075,112.6219,-0.00014914944863531066
2016-03-08,0.825664475564447,112.8465,0.0019942835274489035
2016-03-09,0.8542557326078509,112.4268,-0.003719211495261332
2016-03-10,0.8850882411263138,112.4191,-6.848900795897173e-05
2016-03-11,0.9077080142930068,111.741,-0.006031893156945745
2016-03-14,0.9233016800584368,112.1688,0.003828496254731917
2016-03-15,0.9216859460178167,112.5545,0.0034385675874217814
2016-03-16,0.9036422314430612,112.7759,0.0019670470749724167
2016-03-17,0.8816972312117941,110.445,-0.020668422952066834
2016-03-18,0.869922821249507,110.4002,-0.0004056317624155925
2016-03-21,0.8480096156597888,110.737,0.0030507191110160647
2016-03-22,0.8336933045356372,110.7877,0.00045784155250738756
2016-03-23,0.8474052962831018,111.5473,0.006856356797731111
2016-03-24,0.8621529762083796,111.816,0.0024088436026690196
2016-03-28,0.8890515401036901,111.3578,-0.0036861477787381025
2016-03-29,0.908054924183454,111.3736,0.0001418849869518901
2016-03-30,0.9122165094785983,110.2301,-0.010267244661212427
2016-03-31,0.9087259868106662,109.9191,-0.002821370932258871
2016-04-01,0.8981275580908182,110.2977,0.003444351345671448
2016-04-04,0.8915623475857583,110.3987,0.00091570359128057
2016-04-05,0.9181336299980368,110.9478,0.004973790452242666
2016-04-06,0.939144299760829,110.5347,-0.0037233726130666556
2016-04-07,0.9755738472863547,110.8876,0.0031926625756437677
2016-04-08,1.0149576256879496,110.4213,-0.004205159098041644
2016-04-11,1.0447065184334134,109.9758,-0.004034547682376433
2016-04-12,1.0443068127679846,109.816,-0.0014530469430548143
2016-04-13,1.0516399642439662,110.1436,0.0029831718510964222
2016-04-14,1.0225491211713114,110.1691,0.00023151594827108823
2016-04-15,1.0013505558056586,110.1933,0.00021966231910752754
2016-04-18,0.9632766400555361,109.9892,-0.0018521997253916345
2016-04-19,0.9427230046948357,109.2782,-0.0064642710375200085
2016-04-20,0.9378357636224096,109.3926,0.0010468693664427153
2016-04-21,0.9443063674869604,109.8533,0.004211436605401131
2016-04-22,0.9437269048038008,110.2331,0.0034573381045448492
2016-04-25,0.9579137071981341,110.1865,-0.000422740538005395
2016-04-26,0.9676120510013068,109.7496,-0.0039650955425573065
2016-04-27,0.9738123808851553,109.8483,0.0008993199064051272
2016-04-28,0.9873159762481992,109.2148,-0.005767044187301895
2016-04-29,1.0129173775286378,108.8274,-0.003547138299937358
2016-05-02,1.0192862355353234,108.671,-0.0014371380736836192
2016-05-03,1.0414308039590208,109.3613,0.006352200679113906
2016-05-04,1.0658480217998687,109.9952,0.005796383181253306
2016-05-05,1.0762963474418283,110.2417,0.002241006880300267
2016-05-06,1.0651166009272712,110.3801,0.0012554233107799906
2016-05-09,1.0698499982598406,110.9466,0.005132265689195892
2016-05-10,1.0468700849323689,110.8225,-0.0011185561342123007
2016-05-11,1.0248118204627823,110.2806,-0.004889801258769588
2016-05-12,1.00149487224057,110.6935,0.0037440855417905095
2016-05-13,1.0010032172138237,111.2521,0.005046366769503097
2016-05-16,0.9979338842975207,111.1217,-0.0011721127061871117
2016-05-17,1.0164998462747241,111.0867,-0.00031496998336066895
2016-05-18,1.024373730534868,111.4995,0.003716016408805034
2016-05-19,1.0419772986768754,112.2331,0.00657940170135296
2016-05-20,1.0372297838270617,112.1822,-0.0004535203963892398
2016-05-23,1.0463681592039802,112.284,0.000907452340924042
2016-05-24,1.0295403364684064,112.2912,6.412311638337442e-05
2016-05-25,1.0019530603462545,112.2001,-0.0008112835199908242
2016-05-26,0.9692973692973692,111.8979,-0.002693402234044351
2016-05-27,0.94975144431009,112.0822,0.0016470371651300386
2016-05-31,0.9293812872186522,112.4276,0.0030816668480810883
2016-06-01,0.9308048541392017,112.462,0.0003059746894891191
2016-06-02,0.9348011315224429,112.4564,-4.979459728615687e-05
2016-06-03,0.9431900195896483,111.4451,-0.008992818550122572
2016-06-06,0.9539841324594688,111.2295,-0.001934584831455033
2016-06-07,0.9537632179141614,110.8378,-0.003521547790828916
2016-06-08,0.9506262291688232,110.1916,-0.005830140980784604
2016-06-09,0.9647318655531784,110.6168,0.003858733333575337
2016-06-10,1.0047879616963065,111.1027,0.004392641985665913
2016-06-13,1.0829618208024672,111.5036,0.003608373153847877
2016-06-14,1.147065592635213,111.9826,0.004295825426264166
2016-06-15,1.208603265094584,111.7671,-0.001924406113092636
2016-06-16,1.255974883065291,112.2347,0.004183699854429568
2016-06-17,1.2739039401053234,111.5332,-0.0062502951404512785
2016-06-20,1.2285561732466472,110.8693,-0.0059524876897640855
2016-06-21,1.1932097804080362,111.0077,0.0012483167116597027
2016-06-22,1.1812080536912752,110.7681,-0.002158408831099079
2016-06-23,1.1436509134833157,110.262,-0.004569004975259139
2016-06-24,1.1765459415395365,112.1355,0.016991347880502827
2016-06-27,1.2027893057790575,113.1301,0.008869626478679837
2016-06-28,1.1905120272040586,112.7545,-0.0033200713161218864
2016-06-29,1.1323053071620386,111.8597,-0.007935825177708966
2016-06-30,1.1082293989702925,112.1618,0.00270070454328053
2016-07-01,0.9836767166881569,111.6509,-0.004555026755990066
2016-07-05,0.8882218098460868,112.4231,0.006916200406803741
2016-07-06,0.8447529603919968,112.5438,0.0010736227696976908
2016-07-07,0.822759014210798,112.5775,0.0002994389739816583
2016-07-08,0.7994762541258625,112.3963,-0.0016095578601408311
2016-07-11,0.7936105755990086,112.5254,0.0011486143227135148
2016-07-12,0.7873369320737743,112.1102,-0.003689833584239688
2016-07-13,0.7821492160128652,112.0266,-0.0007456948609493308
2016-07-14,0.7761806981519507,111.7692,-0.002297668589424373
2016-07-15,0.7853979652902453,112.2833,0.004599657150628156
2016-07-18,0.7886807444305229,112.2463,-0.00032952362461735607
2016-07-19,0.7847146463859362,112.638,0.003489647320223499
2016-07-20,0.7853049789889215,112.6743,0.00032227134714757355
2016-07-21,0.8059144885341359,112.6239,-0.0004473069723973655
2016-07-22,0.811289356320309,112.989,0.0032417630716037316
2016-07-25,0.8536356365406683,113.1784,0.0016762693713545662
2016-07-26,0.9025544676084835,113.0593,-0.001052320937564133
2016-07-27,0.9379361270075689,113.217,0.0013948432371331254
2016-07-28,0.9514104821488779,112.7393,-0.004219331019193251
2016-07-29,0.9627237147091233,111.874,-0.007675229489627844
2016-08-01,0.9647293359914124,111.9757,0.0009090584049913364
2016-08-02,0.9779221281367205,111.7124,-0.0023514030276211573
2016-08-03,0.9863953533699761,111.9419,0.002054382503643204
2016-08-04,0.9907549470868247,111.9149,-0.0002411965492813417
2016-08-05,0.9902527934067676,112.3589,0.003967300153956188
2016-08-08,0.9833027083166894,112.1456,-0.0018983809916259808
2016-08-09,0.9632521634131616,111.722,-0.00377723245495154
2016-08-10,0.9540127697405639,111.3238,-0.0035642040063728064
2016-08-11,0.9464111724585904,111.1954,-0.0011533921766954114
2016-08-12,0.9533442088091353,111.1787,-0.00015018606884820151
2016-08-15,0.9608700985402951,110.9212,-0.0023160911217706692
2016-08-16,0.9742293263741642,110.4295,-0.004432876672809116
2016-08-17,0.9748432793291542,110.9459,0.004676286680642239
2016-08-18,0.97597708205443,110.3134,-0.005700976782377687
2016-08-19,0.9752534165059302,110.8163,0.004558829661672981
2016-08-22,0.985230592010532,110.9997,0.0016549911881194035
2016-08-23,0.9836633663366336,110.9414,-0.0005252266447567377
2016-08-24,1.0018928483252407,111.2958,0.003194479247602855
2016-08-25,1.0342311318820974,111.1726,-0.0011069600110695799
2016-08-26,1.0643441455374223,111.2035,0.0002779461845814346
2016-08-29,1.0730677064294707,111.8775,0.00606096031150094
2016-08-30,1.0861928768905513,112.2928,0.003712095819087935
2016-08-31,1.083238682459841,112.4036,0.0009867061824089252
2016-09-01,1.0761773972049438,112.1733,-0.0020488667622745593
2016-09-02,1.0467018575976146,112.0009,-0.0015369076241850133
2016-09-06,1.029715710322088,110.9613,-0.009282068269094279
2016-09-07,1.009599550146604,110.9717,9.372637126636718e-05
2016-09-08,0.9931443691616887,111.2609,0.0026060698358230105
2016-09-09,1.033496571988247,111.9879,0.006534191256766686
2016-09-12,1.0682222050529242,112.1516,0.0014617650656902903
2016-09-13,1.1318988297470745,112.5207,0.003291081001073559
2016-09-14,1.2005917159763313,112.4678,-0.00047013571725029735
2016-09-15,1.2378419729700194,112.4753,6.668575361135076e-05
2016-09-16,1.1897288561680732,113.1765,0.006234257654791797
2016-09-19,1.1773280498160203,112.903,-0.002416579413570874
2016-09-20,1.1353522651856511,113.1848,0.0024959478490385045
2016-09-21,1.0643083458096865,112.9842,-0.0017723227853916335
2016-09-22,1.0097277626145988,112.2592,-0.0064168264235175965
2016-09-23,0.9711714245535088,112.7166,0.004074499016561539
2016-09-26,0.953836447123979,112.7112,-4.7907761589582876e-05
2016-09-27,0.9137852513575057,112.5515,-0.0014168955702716923
2016-09-28,0.9033436358527676,112.6283,0.0006823543000313848
2016-09-29,0.9294826861068274,112.2879,-0.0030223309772056117
2016-09-30,0.9441307473783888,112.2795,-7.480770412482407e-05
2016-10-03,0.9259207589285714,112.5077,0.0020324280033310327
2016-10-04,0.9281032150660702,112.6579,0.0013350197364268013
2016-10-05,0.9330292349160274,112.7946,0.0012134080255357116
2016-10-06,0.91567429498464,113.0066,0.0018795226012593425
2016-10-07,0.9312191536280583,113.2915,0.002521091688449939
2016-10-11,0.9672375808400254,113.4461,0.0013646213528817341
2016-10-12,1.01679859593825,113.7442,0.002627679576468589
2016-10-13,1.070462837112812,113.6238,-0.0010585155111205724
2016-10-14,1.1052687903542255,113.7119,0.0007753657244344847
2016-10-17,1.1428774776698336,113.5488,-0.0014343265744394262
2016-10-18,1.1443449727146273,113.1393,-0.0036063789313492967
2016-10-19,1.11851641324428,113.0547,-0.0007477507815587536
2016-10-20,1.0701599519790965,113.4033,0.0030834631377554267
2016-10-21,1.0270878772954337,113.9015,0.004393170216387077
2016-10-24,0.9873399816111464,113.8571,-0.00038981049415498514
2016-10-25,0.9603729603729604,113.6801,-0.0015545802589386204
2016-10-26,0.9517526930769501,113.8131,0.0011699497097557021
2016-10-27,0.96979010232948,114.1998,0.003397675662994759
2016-10-28,0.9994813815994192,114.0931,-0.0009343273806082797
2016-10-31,1.04277124897513,114.0188,-0.0006512225542123495
2016-11-01,1.0940366201915002,113.9915,-0.00023943419857075376
2016-11-02,1.1381011908678202,113.9206,-0.0006219761999799456
2016-11-03,1.190345444096801,113.7664,-0.001353574331595775
2016-11-04,1.2354383242823894,113.5828,-0.0016138332583258697
2016-11-07,1.2354844618108556,113.5443,-0.0003389597720782067
2016-11-08,1.2250423011844331,113.3017,-0.002136610996765209
2016-11-09,1.1707494763682724,114.6956,0.012302551506288006
2016-11-10,1.0880664468059118,115.9375,0.010827791127122621
2016-11-14,0.9451513279802347,117.2245,0.011100808625337022
2016-11-15,0.8840287054583864,116.7724,-0.0038567023105238185
2016-11-16,0.877708592777086,116.8062,0.0002894519595384448
2016-11-17,0.8614713216957607,116.8952,0.0007619458556138436
2016-11-18,0.8463051418937904,117.5936,0.005974582360952274
2016-11-21,0.8221200462919519,117.4762,-0.0009983536518993752
2016-11-22,0.8127785100106697,117.4508,-0.00021621400760329923
2016-11-23,0.8011361843143444,118.0356,0.0049791061448709595
2016-11-25,0.7959723417136666,118.02,-0.00013216351676959004
2016-11-28,0.8076192927700377,117.7278,-0.002475851550584607
2016-11-29,0.8248377523399536,117.644,-0.0007118114837786349
2016-11-30,0.8513603185136032,117.7636,0.00101662643228706
2016-12-01,0.8886037481006247,117.6642,-0.0008440638703300918
2016-12-02,0.937853499427461,117.3116,-0.0029966633861445713
2016-12-05,0.958318335612987,117.1008,-0.0017969237483760336
2016-12-06,0.96640826873385,116.9225,-0.001522619828387195
2016-12-07,0.9734473106891596,116.672,-0.0021424447817999237
2016-12-08,0.9581175753883644,117.0327,0.0030915729566649564
2016-12-09,0.9326400924321203,117.2834,0.0021421363430904616
2016-12-12,0.9459166279249962,116.9161,-0.0031317304921242295
2016-12-13,0.9669215166172569,116.8029,-0.0009682156691850352
2016-12-14,0.9827465063627135,116.7332,-0.0005967317592285859
2016-12-15,0.9886777668952007,118.8072,0.017767010584820664
2016-12-16,1.0002361275088547,118.3584,-0.003777548835424027
2016-12-19,0.9900379506641367,118.3875,0.0002458634114688163
2016-12-20,0.9736894321203222,118.63,0.0020483581459189715
2016-12-21,0.9474985050827187,118.581,-0.0004130489758070732
2016-12-22,0.9295177106263757,118.8209,0.002023089702397396
2016-12-23,0.9206668005623617,118.7856,-0.0002970857820466799
2016-12-27,0.9294967512813269,118.9506,0.001389057259465698
2016-12-28,0.9535183989670755,119.2305,0.002353077664173364
2016-12-29,0.9872518960787476,118.6637,-0.0047538171860388445
2016-12-30,1.02949364535001,118.3466,-0.0026722578176814338
2017-01-03,1.0576689106983537,119.0903,0.006284084206897411
2017-01-04,1.056640545698161,118.8803,-0.00176336779737718
2017-01-05,1.036356989072592,117.9999,-0.007405768659735967
2017-01-06,1.0067272801402536,118.3495,0.0029627143751818075
2017-01-09,0.9705557148122363,118.4111,0.0005204922707742199
2017-01-10,0.9492887303734677,118.5386,0.0010767571621241867
2017-01-11,0.9449598021026591,119.0219,0.004077152927400851
2017-01-12,0.9474251149687204,117.8001,-0.010265337723561863
2017-01-13,0.9536777912367906,117.9884,0.0015984706294815965
2017-01-17,0.9625560820160174,117.2656,-0.006126025948313463
2017-01-18,0.9780123131046613,117.7242,0.003910780314090312
2017-01-19,0.9989993328885923,118.3182,0.0050456915400571845
2017-01-23,1.0055317556045418,117.2479,-0.009045945594168936
2017-01-24,0.9937101678677054,117.0516,-0.0016742304126556862
2017-01-25,0.9684263280988974,116.9355,-0.0009918702520939071
2017-01-26,0.9378360215053761,117.2766,0.0029169927011043484
2017-01-27,0.9309745025667135,117.0735,-0.001731803275333732
2017-01-30,0.9387755102040816,116.7325,-0.002912700141364133
2017-01-31,0.9629151053107637,116.2241,-0.004355256676589647
2017-02-01,0.9845541470168304,116.3914,0.0014394604905523245
2017-02-02,1.0067038622896933,115.903,-0.0041961863161711355
2017-02-03,1.0165285670903648,115.6259,-0.0023907923004581333
2017-02-06,1.0074600971547536,116.0504,0.0036713227745686083
2017-02-07,0.9964826957314691,116.4082,0.0030831431860640635
2017-02-08,0.9904017372421281,116.1382,-0.0023194242330006887
2017-02-09,0.9737677817897071,116.306,0.0014448303831124942
2017-02-10,0.9746051138842832,116.148,-0.0013584853747872216
2017-02-13,0.9700462841673216,116.3427,0.0016763095361089775
2017-02-14,0.9652025099828865,116.3949,0.0004486744763532169
2017-02-15,0.9765150848799368,116.2162,-0.0015352906355863283
2017-02-16,0.9964658066796255,116.0067,-0.0018026746701407248
2017-02-17,1.0079978790155097,116.4035,0.0034204920922671356
2017-02-21,1.0177347308831983,116.5921,0.001620226195947705
2017-02-22,1.0323661698562483,116.2136,-0.003246360602476517
2017-02-23,1.0237174982431483,115.6527,-0.004826457488624425
2017-02-24,1.0148783476282164,115.8143,0.0013972868770033564
2017-02-27,1.0186497413380862,115.6764,-0.001190699248711069
2017-02-28,1.0374345436447832,116.0032,0.0028251224968964816
2017-03-01,1.0487868059753045,116.438,0.0037481724642078884
2017-03-02,1.050513772558501,116.8429,0.0034773871073017215
2017-03-03,1.0460871450249296,116.6438,-0.0017039974187562645
2017-03-06,1.0301403083318896,116.4313,-0.0018217856414143307
2017-03-07,1.0043290043290043,116.4303,-8.58875577258722e-06
2017-03-08,0.9901109815606512,116.875,0.0038194524964720866
2017-03-09,0.9949229842526461,116.9959,0.001034438502673929
2017-03-10,1.0036020583190395,116.616,-0.003247122335056196
2017-03-13,1.0033376123234918,116.4004,-0.0018488029086917157
2017-03-14,1.0125569318520409,116.5646,0.00141064807337421
2017-03-15,1.0048341955728946,116.3584,-0.0017689761728688636
2017-03-16,0.9895345869139794,115.4456,-0.007844728012760593
2017-03-17,0.9850797169409155,115.2783,-0.00144916740005685
2017-03-20,0.9855393934223436,115.0426,-0.0020446172436616727
2017-03-21,0.9846598393744954,114.8119,-0.002005344107313234
2017-03-22,1.0001692047377326,114.7937,-0.00015852015339867798
2017-03-23,1.0263655859719945,114.7899,-3.310286191660072e-05
2017-03-24,1.0480568324279147,114.6372,-0.0013302564075758916
2017-03-27,1.0656209586583791,114.2347,-0.0035110766836594642
2017-03-28,1.0560590802282646,114.419,0.0016133451569444457
2017-03-29,1.0376053962900507,114.7167,0.0026018406033962993
2017-03-30,1.0121132824040855,114.5245,-0.0016754317374889638
2017-03-31,0.9962238818494588,114.7938,0.0023514619142628312
2017-04-03,0.9894772006013028,114.8734,0.0006934172403039174
2017-04-04,0.9924109748978401,115.0038,0.001135162709556825
2017-04-05,1.0125804442599127,114.9494,-0.0004730278477754757
2017-04-06,1.0263136050468997,115.0181,0.0005976542722276879
2017-04-07,1.029444559157547,115.0547,0.00031821078595450913
2017-04-10,1.0453747192158462,115.11,0.00048064094730593254
2017-04-11,1.086665051288264,115.009,-0.0008774215967335408
2017-04-12,1.1145535430568798,114.9162,-0.0008068933735619899
2017-04-13,1.1495848115083231,114.5059,-0.003570427842201629
2017-04-17,1.1621840009234679,114.3283,-0.0018203756347304756
2017-04-18,1.1542000988705938,114.2575,-0.0006192692447977155
2017-04-19,1.1413932110160872,114.7923,0.0046806555368357206
2017-04-20,1.1113693443790533,114.6205,-0.001496616062227063
2017-04-21,1.0852840316087673,114.8128,0.0016777103572223062
2017-04-24,1.0365193868349865,114.3659,-0.0038924231444577018
2017-04-25,0.987973678239165,114.5111,0.0012696092104378387
2017-04-26,0.9286418442405399,114.9479,0.003814477373809133
2017-04-27,0.8746764123648545,114.9946,0.0004062710149554949
2017-04-28,0.8189036494121241,114.7877,-0.0017992149196571772
2017-05-01,0.8147862918752407,114.5921,-0.001704015325683872
2017-05-02,0.8178046605404985,114.6792,0.0007600873009570019
2017-05-03,0.8186915887850467,114.6637,-0.00013515964534094316
2017-05-04,0.8280850729252663,114.9076,0.002127089915989089
2017-05-05,0.8300930508810135,114.7725,-0.0011757272800059226
2017-05-08,0.8349569051914211,115.0895,0.002761985667298461
2017-05-09,0.8386044995109229,115.3933,0.0026396847670724366
2017-05-10,0.8477338877338878,115.1145,-0.002416084816016073
2017-05-11,0.8687375175285768,115.0669,-0.00041350133997020144
2017-05-12,0.8867998433215825,114.7479,-0.002772300287919527
2017-05-15,0.9150002216999956,114.3504,-0.0034641156831628495
2017-05-16,0.9430014430014431,113.9923,-0.003131602512977616
2017-05-17,1.0369571081737254,113.7506,-0.002120318653101916
2017-05-18,1.107432826447764,114.2683,0.004551184784959306
2017-05-19,1.1502223835889989,113.7001,-0.0049725076858585515
2017-05-22,1.1590073946377535,113.5442,-0.0013711509488558704
2017-05-23,1.1604882254185762,113.6862,0.001250614298220487
2017-05-24,1.0633995263253782,113.675,-9.851679447459016e-05
2017-05-25,0.9799717140380488,113.3719,-0.002666373433032776
2017-05-26,0.9436245302044184,113.4839,0.0009878991178591257
2017-05-30,0.9323872739757382,113.5552,0.0006282829546746527
2017-05-31,0.9274751454620423,113.2956,-0.002286112833230103
2017-06-01,0.9284531910980321,113.3017,5.3841455449399334e-05
2017-06-02,0.9270655533514786,113.1908,-0.0009788026128469962
2017-06-05,0.9340176631063022,112.9755,-0.001902098050371559
2017-06-06,0.9323807328877622,112.7095,-0.002354492788259277
2017-06-07,0.9301683687551754,112.8191,0.0009724113761484521
2017-06-08,0.935351769198914,112.8351,0.0001418199577907231
2017-06-09,0.9523984730717933,112.9562,0.001073247597600302
2017-06-12,0.9732253192365785,112.9837,0.00024345719845397795
2017-06-13,0.9726760950157901,112.6271,-0.003156207488336782
2017-06-14,0.9772976931526911,112.0734,-0.004916223537674291
2017-06-15,1.0125824407128494,112.8708,0.007114980004175875
2017-06-16,1.0271586081809938,112.6155,-0.002261878182842736
2017-06-19,1.0144341801385681,112.7576,0.001261815647046749
2017-06-20,1.02324685950811,113.2698,0.0045424876017226
2017-06-21,1.0252165543792109,113.3327,0.0005553113009821864
2017-06-22,1.0148852396043406,113.1654,-0.0014761847198557776
2017-06-23,1.0078256277305677,112.8665,-0.00264126667691722
2017-06-26,0.998368365486131,112.7633,-0.0009143545693363064
2017-06-27,0.9989476705252082,112.55,-0.0018915728787646247
