date,CPI_YOY,GDP,M0,M1,M2,PMI,SHIBOR_1M,SHIBOR_1W,SHIBOR_ON
1979-07-01,,,212.96,831.28,,,,,
1979-08-01,,,215.35,849.58,,,,,
1979-09-01,,,225.57,871.19,,,,,
1979-10-01,,,220.9,895.32,,,,,
1979-11-01,,,235.13,955.66,,,,,
1979-12-01,1.9,4062.6,267.71,1069.36,,,,,
1980-01-01,,,300.41,1031.89,,,,,
1980-02-01,,,279.18,975.8,,,,,
1980-03-01,,,261.49,963.91,,,,,
1980-04-01,,,254.07,954.89,,,,,
1980-05-01,,,243.13,957.2,,,,,
1980-06-01,,,243.3,983.04,,,,,
1980-07-01,,,251.71,1012.49,,,,,
1980-08-01,,,259.97,1043.81,,,,,
1980-09-01,,,274.35,1081.75,,,,,
1980-10-01,,,285.84,1133.15,,,,,
1980-11-01,,,309.0,1206.27,,,,,
1980-12-01,7.5,4545.6,346.2,1315.74,,,,,
1981-01-01,,,415.03,1370.5,,,,,
1981-02-01,,,349.86,1309.39,,,,,
1981-03-01,,,325.62,1289.05,,,,,
1981-04-01,,,318.04,1267.41,,,,,
1981-05-01,,,306.44,1268.12,,,,,
1981-06-01,,,306.38,1297.76,,,,,
1981-07-01,,,315.46,1320.01,,,,,
1981-08-01,,,320.16,1356.45,,,,,
1981-09-01,,,333.15,1393.37,,,,,
1981-10-01,,,345.23,1250.32,,,,,
1981-11-01,,,359.85,1580.86,,,,,
1981-12-01,2.5,4891.6,396.34,1636.56,,,,,
1982-01-01,,,443.01,1638.32,,,,,
1982-02-01,,,402.92,1578.76,,,,,
1982-03-01,,,377.87,1569.69,,,,,
1982-04-01,,,367.33,1552.52,,,,,
1982-05-01,,,349.47,1555.3,,,,,
1982-06-01,,,352.49,1567.42,,,,,
1982-07-01,,,358.21,1587.92,,,,,
1982-08-01,,,359.96,1610.77,,,,,
1982-09-01,,,377.4,1642.91,,,,,
1982-10-01,,,388.4,1693.45,,,,,
1982-11-01,,,404.1,1766.36,,,,,
1982-12-01,2.0,5323.4,439.12,1885.11,,,,,
1983-01-01,,,482.96,1984.95,,,,,
1983-02-01,,,459.91,1925.99,,,,,
1983-03-01,,,433.27,1925.79,,,,,
1983-04-01,,,430.86,1968.01,,,,,
1983-05-01,,,415.25,1957.82,,,,,
1983-06-01,,,421.97,1975.1,,,,,
1983-07-01,,,438.16,2019.99,,,,,
1983-08-01,,,439.65,2033.77,,,,,
1983-09-01,,,467.28,2082.24,,,,,
1983-10-01,,,488.63,2138.54,,,,,
1983-11-01,,,517.64,2252.51,,,,,
1983-12-01,2.0,5962.7,529.78,2165.04,,,,,
1984-01-01,,,618.47,2169.61,,,,,
1984-02-01,,,530.99,2072.29,,,,,
1984-03-01,,,511.19,2065.67,,,,,
1984-04-01,,,502.06,2073.6,,,,,
1984-05-01,,,481.59,2080.79,,,,,
1984-06-01,,,490.84,2103.01,,,,,
1984-07-01,,,519.27,2174.91,,,,,
1984-08-01,,,541.57,2247.44,,,,,
1984-09-01,,,587.2,2324.55,,,,,
1984-10-01,,,643.59,2441.33,,,,,
1984-11-01,,,700.71,2592.64,,,,,
1984-12-01,2.7,7208.1,792.11,2845.24,,,,,
1985-01-01,,,839.35,2925.38,,,,,
1985-02-01,,,843.69,2870.78,,,,,
1985-03-01,,,787.59,2822.05,,,,,
1985-04-01,,,760.76,2760.11,,,,,
1985-05-01,,,737.89,2715.74,,,,,
1985-06-01,,,757.5,2639.4,,,,,
1985-07-01,,,783.74,2679.89,,,,,
1985-08-01,,,799.62,2689.34,,,,,
1985-09-01,,,827.12,2719.54,,,,,
1985-10-01,,,839.2,2736.56,,,,,
