date,value,indicator_code,indicator_name,frequency
2020-10-01,480763,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2020-11-01,478079,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2020-12-01,485949,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2021-01-01,501604,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2021-02-01,488805,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2021-03-01,539607,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2021-04-01,542199,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2021-05-01,536589,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2021-06-01,540152,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2021-07-01,528600,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2021-08-01,532477,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2021-09-01,536651,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2021-10-01,545361,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2021-11-01,551082,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2021-12-01,547277,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2022-01-01,560257,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2022-02-01,563777,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2022-03-01,574485,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2022-04-01,580943,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2022-05-01,579844,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2022-06-01,585556,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2022-07-01,579267,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2022-08-01,581196,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2022-09-01,579446,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2022-10-01,585006,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2022-11-01,576356,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2022-12-01,569119,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2023-01-01,591964,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2023-02-01,586165,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2023-03-01,578812,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2023-04-01,583874,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2023-05-01,586286,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
