date,close
20160104,397.3266
20160105,404.3685
20160106,408.7855
20160107,378.8068
20160108,387.4775
20160111,356.2321
20160112,359.3819
20160113,355.4041
20160114,365.1024
20160115,356.603
20160118,358.6904
20160119,371.3243
20160120,364.7925
20160121,351.2407
20160122,355.742
20160125,358.948
20160126,341.3647
20160127,341.146
20160128,335.3614
20160129,344.856
20160201,340.5679
20160202,348.402
20160203,348.4501
20160204,353.5555
20160205,354.3322
20160215,350.8216
20160216,357.137
20160217,360.3621
20160218,362.7055
20160219,362.0991
20160222,367.9902
20160223,366.5038
20160224,369.2505
20160225,347.4751
20160226,352.4582
20160229,339.3465
20160301,345.0139
20160302,357.7625
20160303,356.9131
20160304,352.8532
20160307,357.4788
20160308,358.0202
20160309,352.5968
20160310,350.4759
20160311,351.4393
20160314,358.6373
20160315,358.0995
20160316,354.3522
20160317,359.9154
20160318,367.337
20160321,373.3101
20160322,372.1342
20160323,373.659
20160324,370.112
20160325,372.3718
20160328,372.1379
20160329,368.355
20160330,374.8937
20160331,375.1607
20160401,374.9524
20160405,377.9225
20160406,378.3762
20160407,376.2578
20160408,373.3282
20160411,376.5485
20160412,376.4748
20160413,379.7967
20160414,381.1852
20160415,381.0027
20160418,376.9998
20160419,377.2535
20160420,368.7752
20160421,367.4017
20160422,368.6412
20160425,367.6979
20160426,369.302
20160427,369.0594
20160428,368.3757
20160429,368.3144
20160503,373.1897
20160504,372.9198
20160505,372.8373
20160506,366.6791
20160509,360.0412
20160510,358.5756
20160511,354.1722
20160512,351.7555
20160513,349.8446
20160516,352.2166
20160517,351.6746
20160518,342.7602
20160519,335.3362
20160520,336.434
20160523,339.6806
20160524,336.5733
20160525,336.6891
20160526,335.49
20160527,336.3042
20160530,334.5727
20160531,348.6603
20160601,348.6956
20160602,350.139
20160603,351.3438
20160606,350.9606
20160607,351.0556
20160608,351.4567
20160613,340.6442
20160614,340.5313
20160615,344.8747
20160616,341.5638
20160617,342.0474
20160620,340.7413
20160621,340.2389
20160622,342.5993
20160623,342.5448
20160624,339.9971
