date,close
20160104,2611.404
20160105,2594.7582
20160106,2671.3619
20160107,2460.7672
20160108,2516.9537
20160111,2374.7996
20160112,2371.1587
20160113,2301.5684
20160114,2359.2092
20160115,2268.7667
20160118,2283.1862
20160119,2363.0795
20160120,2337.7174
20160121,2252.8375
20160122,2286.663
20160125,2313.3214
20160126,2158.9627
20160127,2152.9865
20160128,2081.9743
20160129,2145.0953
20160201,2104.1316
20160202,2159.4922
20160203,2157.0772
20160204,2194.8775
20160205,2180.4096
20160215,2171.9141
20160216,2247.1406
20160217,2275.705
20160218,2273.5455
20160219,2274.5766
20160222,2325.679
20160223,2314.9357
20160224,2336.1847
20160225,2171.3638
20160226,2195.4198
20160229,2120.3904
20160301,2159.3175
20160302,2260.0882
20160303,2266.3925
20160304,2256.5977
20160307,2289.1735
20160308,2288.2688
20160309,2239.4901
20160310,2198.8
20160311,2200.5651
20160314,2250.6843
20160315,2250.0338
20160316,2242.0995
20160317,2281.8165
20160318,2328.877
20160321,2372.637
20160322,2364.3439
20160323,2372.5229
20160324,2335.8286
20160325,2346.7431
20160328,2334.122
20160329,2297.6314
20160330,2366.3228
20160331,2368.6886
20160401,2373.6717
20160405,2414.0579
20160406,2423.3308
20160407,2390.7637
20160408,2370.4877
20160411,2414.5711
20160412,2406.7318
20160413,2443.8043
20160414,2457.6142
20160415,2452.4545
20160418,2412.1837
20160419,2420.9926
20160420,2348.8261
20160421,2336.6605
20160422,2337.3775
20160425,2329.8571
20160426,2346.2829
20160427,2338.3127
20160428,2328.0932
20160429,2325.9444
20160503,2377.0283
20160504,2372.8312
20160505,2379.3108
20160506,2302.9693
20160509,2226.2159
20160510,2228.3137
20160511,2228.7404
20160512,2225.1362
20160513,2217.7091
20160516,2243.1505
20160517,2238.4837
20160518,2193.4752
20160519,2198.2688
20160520,2215.1611
20160523,2234.5805
20160524,2218.67
20160525,2209.2902
20160526,2218.0228
20160527,2216.1529
20160530,2212.424
20160531,2286.771
20160601,2291.313
20160602,2306.1242
20160603,2319.9794
20160606,2319.8356
20160607,2322.037
20160608,2311.8832
20160613,2227.9502
20160614,2233.4004
20160615,2282.4508
20160616,2275.7565
20160617,2288.5776
20160620,2292.4815
20160621,2276.9595
20160622,2303.3232
20160623,2291.1132
20160624,2264.3404
20160627,2307.4771
20160628,2324.5414
20160629,2338.4722
20160630,2336.4148
20160701,2335.6214
20160704,2384.8423
20160705,2404.784
20160706,2421.7957
20160707,2428.306
20160708,2410.1464
20160711,2422.0532
20160712,2466.4928
20160713,2474.1508
20160714,2468.8707
20160715,2468.5991
20160718,2455.3362
20160719,2452.8975
20160720,2447.1858
20160721,2454.645
20160722,2431.172
20160725,2432.2864
20160726,2465.8574
20160727,2396.2809
20160728,2406.2035
20160729,2389.5272
20160801,2361.3622
20160802,2378.4966
20160803,2387.5275
20160804,2393.7229
20160805,2384.4659
20160808,2413.5113
20160809,2431.4536
20160810,2425.5876
20160811,2399.4871
20160812,2426.9185
20160815,2476.5959
20160816,2478.0287
20160817,2481.7035
20160818,2475.5119
20160819,2479.96
20160822,2457.791
20160823,2459.8674
20160824,2458.7486
20160825,2441.1176
20160826,2448.0861
20160829,2450.9297
20160830,2452.2733
20160831,2458.3547
20160901,2439.0249
20160902,2439.5313
20160905,2449.035
20160906,2471.9828
20160907,2470.3112
20160908,2475.2711
20160909,2459.6171
20160912,2409.497
20160913,2414.4406
20160914,2401.4922
20160919,2421.2436
20160920,2419.5716
20160921,2417.3373
20160922,2429.2524
20160923,2421.8873
20160926,2376.2576
20160927,2390.6058
20160928,2384.0608
20160929,2393.4982
20160930,2402.3646
20161010,2444.5575
20161011,2463.2766
20161012,2456.4584
20161013,2459.2285
20161014,2458.2844
20161017,2441.9317
20161018,2479.1003
20161019,2481.2918
20161020,2480.1327
20161021,2479.9996
20161024,2509.1162
20161025,2515.9916
20161026,2504.213
20161027,2503.0273
20161028,2488.3128
20161031,2488.4486
20161101,2507.6753
20161102,2492.7586
20161103,2508.2551
20161104,2503.537
20161107,2513.9979
20161108,2525.7529
20161109,2513.5762
20161110,2546.0407
20161111,2568.1235
20161114,2577.1502
20161115,2573.8525
20161116,2571.8766
20161117,2573.056
20161118,2559.8246
20161121,2573.9609
20161122,2597.7657
20161123,2584.9361
20161124,2584.4517
20161125,2593.767
20161128,2604.6693
20161129,2609.06
20161130,2582.0589
20161201,2604.8876
20161202,2581.3905
20161205,2547.8711
20161206,2547.3342
20161207,2570.4945
20161208,2562.1294
20161209,2563.2327
20161212,2483.3326
20161213,2502.0638
20161214,2490.5629
20161215,2486.5568
20161216,2495.4034
20161219,2495.692
20161220,2484.0062
20161221,2516.0362
20161222,2523.5418
20161223,2495.9474
20161226,2499.9283
20161227,2496.0322
20161228,2486.7506
20161229,2479.4108
20161230,2486.3032
20170103,2508.7226
20170104,2535.2519
20170105,2544.9888
20170106,2542.485
20170109,2557.6147
20170110,2552.9098
20170111,2530.4699
20170112,2516.0114
20170113,2503.6436
20170116,2481.5027
20170117,2494.0221
20170118,2497.0136
20170119,2484.2497
20170120,2502.9215
20170123,2518.1103
20170124,2525.9126
20170125,2530.0228
20170126,2536.2095
20170203,2526.4541
20170206,2539.438
20170207,2537.0783
20170208,2545.3814
20170209,2560.3875
20170210,2568.9997
20170213,2581.9166
20170214,2584.4594
20170215,2566.1072
20170216,2579.6691
20170217,2561.2499
20170220,2588.8334
20170221,2600.8527
20170222,2615.7165
20170223,2608.9593
20170224,2606.4841
20170227,2587.1911
20170228,2597.6981
20170301,2605.182
20170302,2591.0005
20170303,2581.9021
20170306,2598.9131
20170307,2602.2952
20170308,2598.219
20170309,2573.3792
20170310,2572.855
20170313,2594.2308
20170314,2596.3559
20170315,2601.6551
20170316,2621.9127
20170317,2595.9438
20170320,2613.6556
20170321,2628.6142
20170322,2620.7233
20170323,2618.3202
20170324,2632.9523
20170327,2622.4071
20170328,2611.6475
20170329,2603.0275
20170330,2569.1511
20170331,2577.3446
20170405,2626.7238
20170406,2637.1848
20170407,2645.615
20170410,2632.9907
20170411,2650.1086
20170412,2634.3154
20170413,2639.4388
20170414,2614.5452
20170417,2590.971
20170418,2576.4818
20170419,2549.5422
20170420,2551.6219
20170421,2543.1639
20170424,2495.7842
20170425,2503.975
20170426,2508.5904
20170427,2514.7099
20170428,2516.8165
20170502,2513.0115
20170503,2509.068
20170504,2499.0541
20170505,2470.9139
20170508,2438.4334
20170509,2440.7441
20170510,2405.7288
20170511,2411.7035
20170512,2414.2319
20170515,2426.2064
20170516,2458.2099
20170517,2455.0194
20170518,2444.6616
20170519,2447.1582
20170522,2429.4072
20170523,2403.3919
20170524,2407.4881
20170525,2428.9425
20170526,2429.2208
20170531,2431.165
20170601,2407.4804
20170602,2417.086
20170605,2417.5917
20170606,2426.6206
20170607,2461.2969
20170608,2468.305
20170609,2474.0313
20170612,2457.0277
20170613,2477.5323
20170614,2465.3016
20170615,2473.1055
20170616,2465.2938
20170619,2481.9631
20170620,2479.7328
20170621,2495.3184
20170622,2471.0119
20170623,2479.9096
20170626,2511.815
20170627,2513.9322
20170628,2498.6512
20170629,2508.7826
20170630,2512.1432
20170703,2521.3892
20170704,2515.1334
20170705,2532.2667
20170706,2539.4635
20170707,2548.5981
20170710,2540.544
20170711,2521.023
20170712,2512.9431
20170713,2519.8127
20170714,2518.1956
20170717,2456.9484
20170718,2476.0514
20170719,2514.8145
20170720,2530.6872
20170721,2532.48
20170724,2538.7883
20170725,2531.6127
20170726,2532.1643
20170727,2533.627
20170728,2543.6862
20170731,2573.0723
20170801,2576.3607
20170802,2562.7782
20170803,2565.5337
20170804,2559.2421
20170807,2584.8398
20170808,2583.984
20170809,2601.7925
20170810,2585.4248
20170811,2532.7246
20170814,2566.1793
20170815,2569.9611
20170816,2566.2399
20170817,2583.1465
20170818,2577.892
20170821,2600.4597
20170822,2594.4146
20170823,2575.341
20170824,2562.9751
20170825,2593.1171
20170828,2617.401
20170829,2610.8331
20170830,2621.9446
20170831,2629.3754
20170901,2651.9592
20170904,2662.1025
20170905,2652.829
20170906,2664.0567
20170907,2646.7238
20170908,2648.7727
20170911,2669.8168
20170912,2671.3922
20170913,2684.8784
20170914,2672.8093
20170915,2651.8525
20170918,2666.6736
20170919,2657.77
20170920,2672.4496
20170921,2653.8115
20170922,2646.6516
20170925,2631.8779
20170926,2639.9772
20170927,2653.6925
20170928,2650.3298
20170929,2660.6051
20171009,2683.2534
20171010,2687.0931
20171011,2686.9702
20171012,2682.3933
20171013,2693.1988
20171016,2674.6891
20171017,2671.1979
20171018,2673.4749
20171019,2661.5325
20171020,2672.4591
20171023,2681.0161
20171024,2683.3327
20171025,2697.8897
20171026,2720.0793
20171027,2716.0902
20171030,2685.1395
20171031,2694.7896
20171101,2700.9371
20171102,2685.9457
20171103,2674.5531
20171106,2710.4344
20171107,2728.4255
20171108,2726.9594
20171109,2746.6521
20171110,2754.7749
20171113,2767.3192
20171114,2751.964
20171115,2725.0641
20171116,2725.8756
20171117,2675.4886
20171120,2686.6647
20171121,2691.9194
20171122,2704.3026
20171123,2636.2829
20171124,2641.2131
20171127,2614.7852
20171128,2643.3664
20171129,2648.5816
20171130,2632.2234
20171201,2637.0317
20171204,2625.4787
20171205,2596.6954
20171206,2594.2132
20171207,2576.0971
20171208,2594.6093
20171211,2629.3164
20171212,2603.8265
20171213,2624.0121
20171214,2619.7888
20171215,2598.3361
20171218,2601.1236
20171219,2614.1781
20171220,2607.0954
20171221,2619.0098
20171222,2626.7522
20171225,2609.0473
20171226,2622.7035
20171227,2607.3497
20171228,2633.1795
20171229,2639.0716
20180102,2680.9972
20180103,2700.3783
20180104,2731.0381
20180105,2735.787
20180108,2755.8809
20180109,2763.3052
20180110,2764.059
20180111,2756.388
20180112,2755.4862
20180115,2713.5917
20180116,2722.4089
20180117,2709.6227
20180118,2717.7063
20180119,2723.9963
20180122,2747.4365
20180123,2766.4568
20180124,2775.0992
20180125,2776.0216
20180126,2779.595
20180129,2749.2497
20180130,2730.7718
20180131,2709.5782
20180201,2659.9206
20180202,2687.0703
20180205,2675.5735
20180206,2567.2876
20180207,2538.0103
20180208,2526.0148
20180209,2428.6072
20180212,2469.2573
20180213,2485.956
20180214,2501.9221
20180222,2557.6085
20180223,2570.4902
20180226,2609.7324
20180227,2586.9953
20180228,2573.9718
20180301,2592.0856
20180302,2576.6749
20180305,2581.8885
20180306,2613.6539
20180307,2592.1408
20180308,2610.3537
20180309,2628.3936
20180312,2655.0621
20180313,2635.6983
20180314,2631.9859
20180315,2630.3619
20180316,2613.7985
20180319,2620.3234
20180320,2630.8233
20180321,2617.278
20180322,2602.3111
20180323,2507.8998
20180326,2517.3348
20180327,2552.0851
20180328,2506.4023
20180329,2533.8398
20180330,2551.4369
20180402,2553.673
20180403,2529.2263
20180404,2528.7026
20180409,2535.824
20180410,2566.2528
20180411,2579.5302
20180412,2564.8001
20180413,2548.0206
20180416,2523.8321
20180417,2481.3444
20180418,2502.5643
20180419,2531.5545
20180420,2492.1657
20180423,2479.4966
20180424,2529.7164
20180425,2525.0362
20180426,2486.1527
20180427,2488.4238
20180502,2485.7009
20180503,2505.4855
20180504,2501.3508
20180507,2550.8962
20180508,2564.2251
20180509,2563.8258
20180510,2581.9708
