date,close
20160104,6058.6572
20160105,6118.781
20160106,6268.3897
20160107,5724.0511
20160108,5898.4299
20160111,5577.5547
20160112,5698.6537
20160113,5517.4437
20160114,5608.9113
20160115,5388.4419
20160118,5409.7563
20160119,5718.6562
20160120,5534.8982
20160121,5367.749
20160122,5448.2865
20160125,5483.2039
20160126,5176.2199
20160127,5193.968
20160128,5037.038
20160129,5212.226
20160201,5152.1491
20160202,5293.651
20160203,5314.2686
20160204,5335.4049
20160205,5233.7445
20160215,5187.8092
20160216,5323.4525
20160217,5417.5955
20160218,5427.5506
20160219,5407.1899
20160222,5530.6227
20160223,5493.973
20160224,5549.983
20160225,5230.0547
20160226,5276.0559
20160229,5273.3182
20160301,5395.8898
20160302,5696.7692
20160303,5652.8383
20160304,5621.7414
20160307,5602.4072
20160308,5535.0825
20160309,5471.1332
20160310,5330.1564
20160311,5304.8551
20160314,5420.3838
20160315,5472.4745
20160316,5475.0435
20160317,5504.4663
20160318,5579.255
20160321,5664.1349
20160322,5604.5899
20160323,5585.9727
20160324,5499.3655
20160325,5547.5815
20160328,5447.2943
20160329,5358.7983
20160330,5492.6886
20160331,5489.0916
20160401,5521.3475
20160405,5578.6112
20160406,5566.2001
20160407,5528.6691
20160408,5486.4886
20160411,5561.2991
20160412,5543.9788
20160413,5604.7622
20160414,5647.7154
20160415,5644.0466
20160418,5548.2226
20160419,5567.059
20160420,5442.3533
20160421,5391.9847
20160422,5445.6062
20160425,5408.0759
20160426,5451.379
20160427,5456.2832
20160428,5427.7093
20160429,5397.2091
20160503,5479.1615
20160504,5479.5167
20160505,5506.4066
20160506,5392.2476
20160509,5293.2768
20160510,5274.8686
20160511,5264.6138
20160512,5240.3971
20160513,5259.0513
20160516,5283.0549
20160517,5232.1788
20160518,5230.7555
20160519,5180.5149
20160520,5235.0858
20160523,5270.8625
20160524,5209.3732
20160525,5184.0733
20160526,5152.6247
20160527,5170.6752
20160530,5132.9369
20160531,5317.6269
20160601,5302.8926
20160602,5329.9075
20160603,5341.4023
20160606,5337.1392
20160607,5327.8484
20160608,5365.2298
20160613,5221.1846
20160614,5218.1455
20160615,5297.5943
20160616,5183.1821
20160617,5208.0837
20160620,5216.7423
20160621,5230.6817
20160622,5247.5947
20160623,5240.7605
20160624,5174.9292
20160627,5250.2199
20160628,5246.3343
20160629,5291.6733
20160630,5285.4359
20160701,5299.4385
20160704,5401.9839
20160705,5460.6156
20160706,5460.215
20160707,5419.8803
20160708,5392.7426
20160711,5374.689
20160712,5453.9405
20160713,5513.4094
20160714,5508.0697
20160715,5538.4849
20160718,5501.071
20160719,5461.2664
20160720,5438.2856
20160721,5485.5258
20160722,5434.1736
20160725,5461.5178
20160726,5508.8582
20160727,5437.7092
20160728,5449.6609
20160729,5384.2231
20160801,5338.7345
20160802,5406.2037
20160803,5494.7826
20160804,5523.7844
20160805,5545.9334
20160808,5632.6606
20160809,5701.3345
20160810,5619.2699
20160811,5558.7088
20160812,5818.7428
20160815,6120.7057
20160816,6163.5569
20160817,6119.1678
20160818,6176.3911
20160819,6156.7575
20160822,6100.0537
20160823,6048.1974
20160824,5994.1276
20160825,5867.8345
20160826,5870.8098
20160829,5925.59
20160830,5932.8099
20160831,6037.3265
20160901,5879.4517
20160902,5914.4583
20160905,5902.6806
20160906,5927.3066
20160907,5980.5394
20160908,5979.6673
20160909,5944.3594
20160912,5900.2805
