date,close
20160104,6160.6508
20160105,6114.5465
20160106,6269.6954
20160107,5740.3886
20160108,5847.3615
20160111,5452.5166
20160112,5445.885
20160113,5268.3948
20160114,5429.3486
20160115,5212.1349
20160118,5274.1172
20160119,5472.5984
20160120,5432.372
20160121,5205.7495
20160122,5281.6999
20160125,5344.4297
20160126,4943.7404
20160127,4877.5694
20160128,4657.4085
20160129,4817.7731
20160201,4751.1763
20160202,4905.8581
20160203,4917.5092
20160204,5021.1803
20160205,4978.3177
20160215,4970.6938
20160216,5163.119
20160217,5232.1555
20160218,5230.378
20160219,5243.4502
20160222,5354.3719
20160223,5321.1513
20160224,5378.4978
20160225,4961.568
20160226,4998.4614
20160229,4737.8203
20160301,4836.2717
20160302,5076.9208
20160303,5099.0504
20160304,4961.9119
20160307,5083.4112
20160308,5096.3806
20160309,4961.9526
20160310,4887.9089
20160311,4880.4815
20160314,5034.4485
20160315,5007.3416
20160316,4935.8297
20160317,5075.9122
20160318,5240.511
20160321,5375.656
20160322,5348.9543
20160323,5386.188
20160324,5297.3138
20160325,5354.5084
20160328,5323.7376
20160329,5227.7066
20160330,5408.368
20160331,5422.1714
20160401,5400.0749
20160405,5533.4034
20160406,5552.6519
20160407,5466.2714
20160408,5415.1929
20160411,5525.0448
20160412,5483.8588
20160413,5559.9158
20160414,5612.3777
20160415,5603.6921
20160418,5506.2015
20160419,5529.7774
20160420,5286.2037
20160421,5248.6
20160422,5272.3504
20160425,5251.0614
20160426,5303.2701
20160427,5273.0751
20160428,5248.101
20160429,5244.9657
20160503,5394.5423
20160504,5400.6765
20160505,5427.4549
20160506,5212.6549
20160509,5022.4954
20160510,5023.2699
20160511,5017.7155
20160512,5007.6615
20160513,4992.2504
20160516,5064.7599
20160517,5041.3727
20160518,4909.3757
20160519,4929.1899
20160520,4983.3553
20160523,5044.047
20160524,4985.8904
20160525,4963.237
20160526,4979.6762
20160527,4981.0816
20160530,4964.4713
20160531,5158.6239
20160601,5179.3693
20160602,5216.5346
20160603,5234.016
20160606,5242.8369
20160607,5241.3092
20160608,5218.5343
20160613,4994.8797
20160614,5014.352
20160615,5167.8524
20160616,5150.782
20160617,5184.9513
20160620,5204.9563
20160621,5157.5905
20160622,5227.1821
20160623,5198.59
20160624,5137.8267
20160627,5255.8066
20160628,5301.1467
20160629,5316.2512
20160630,5310.9925
20160701,5305.9877
20160704,5424.3823
20160705,5461.0008
20160706,5497.1771
20160707,5504.797
20160708,5475.6375
20160711,5492.1369
20160712,5573.544
20160713,5605.6864
20160714,5604.1131
20160715,5595.1101
20160718,5566.9568
20160719,5576.5061
20160720,5566.0842
20160721,5598.5157
20160722,5557.4245
20160725,5569.0902
20160726,5644.2745
20160727,5453.0521
20160728,5489.7718
20160729,5446.5479
20160801,5349.8797
20160802,5417.2294
20160803,5448.2151
20160804,5470.9219
20160805,5449.9199
20160808,5532.6073
20160809,5582.6288
20160810,5560.7174
20160811,5479.4697
20160812,5542.6112
20160815,5661.4726
20160816,5676.3049
20160817,5688.8972
20160818,5680.7918
20160819,5683.8794
20160822,5619.9838
20160823,5627.0647
20160824,5626.9514
20160825,5587.9019
20160826,5609.7261
20160829,5617.0221
20160830,5617.8064
