date,distance,used_time,average_heart_rate,cadence,shoe,type,rq,EMTIR
2024-01-26,8.38,1:06:07,128,172,Saucony Kinvara 11,run,,
2024-01-27,20.71,2:04:39,147,186,乔丹 强风SE 秋冬版,run,,
2024-01-29,6.46,0:38:08,145,183,乔丹 强风SE,run,,
2024-01-30,10.07,1:01:55,143,180,Saucony Kinvara 11,run,,
2024-01-31,10.01,0:56:36,151,175,李宁 赤兔6 PRO,playground,,
2024-02-01,9.85,0:58:06,145,183,adidas adizero Boston 12,run,,
2024-02-02,8.45,1:00:20,136,176,Saucony Kinvara 11,run,,
2024-02-03,18.85,1:52:02,142,181,特步 160X 5.0,run,,
2024-02-04,7.62,0:52:35,134,170,adidas adizero Boston 12,run,,
2024-02-05,9.87,0:58:10,142,177,乔丹 强风SE 秋冬版,run,,
2024-02-06,8.55,0:46:13,150,175,乔丹 飞影PB 2.0,playground,,
2024-02-08,11.89,1:23:03,131,165,Saucony Kinvara 11,run,,
2024-02-10,11.32,0:56:45,163,184,特步 160X 5.0,run,,
2024-02-10,0.28,0:02:23,127,180,特步 160X 5.0,run,,
2024-02-10,0.58,0:03:59,129,178,特步 160X 5.0,run,,
2024-02-11,15.04,1:38:37,139,173,Saucony Kinvara 11,run,,
2024-02-12,9.84,0:57:59,138,181,李宁 飞电3 Challenger,run,,
2024-02-13,13.25,1:21:23,146,168,李宁 飞电3 Challenger,run,,
2024-02-14,6.41,0:48:03,126,164,安踏 柏油路霸,run,,
2024-02-15,8.47,0:44:47,152,184,adidas adizero Boston 12,run,,
2024-02-16,6.62,0:43:25,143,156,李宁 飞电3 Challenger,playground,,
2024-02-17,6.01,0:41:29,137,171,安踏 柏油路霸,run,,
2024-02-18,7.02,0:50:17,126,168,adidas adizero Boston 12,run,,
2024-02-21,7.15,0:51:07,127,165,HOKA Speedgoat 5,run,,
2024-02-23,13.4,1:18:21,149,166,特步 160X 5.0,run,48.7,
2024-02-24,7.17,0:49:36,133,166,李宁 赤兔6 PRO,run,45.9,
2024-02-25,16.17,1:33:53,144,187,乔丹 飞影PB 2.0,run,44.7,
2024-02-26,1.02,0:06:34,136,160,乔丹 强风SE 秋冬版,run,43.8,
2024-02-27,10.62,1:05:24,146,171,李宁 飞电3 Challenger,run,48.4,
2024-02-28,6.02,0:37:12,138,174,乔丹 强风SE,run,47,
2024-02-29,7.89,0:45:37,145,182,adidas adizero Boston 12,run,45.1,
2024-03-01,9.91,1:03:40,142,162,李宁 飞电3 Challenger,playground,47.9,
2024-03-02,6.01,0:39:56,135,179,Saucony Triumph 18,run,45.5,
2024-03-03,14.02,1:12:52,150,186,乔丹 强风SE,run,48.5,
2024-03-04,6.01,0:39:56,136,175,乔丹 强风SE 秋冬版,run,45.7,
2024-03-05,10.99,1:11:36,133,175,李宁 赤兔6 PRO,run,45.4,
2024-03-06,11.69,1:17:19,136,161,李宁 飞电3 Challenger,playground,48.6,
2024-03-07,13.05,1:07:44,153,181,特步 160X 5.0,run,46.5,
2024-03-09,9,0:55:54,142,170,安踏 柏油路霸,run,45,
2024-03-10,17.07,1:37:40,143,180,adidas adizero Boston 12,run,46.6,
2024-03-11,6.04,0:36:06,134,184,Saucony Triumph 18,run,44.9,
2024-03-12,11.37,1:12:34,141,173,李宁 赤兔6 PRO,run,45.9,
2024-03-13,11.55,1:06:38,150,173,特步 160X 5.0,run,47.2,
2024-03-15,5.29,0:30:47,144,182,特步 160X 5.0,run,47.4,
2024-03-16,10.03,0:44:02,169,193,特步 160X 5.0,race,44.6,
2024-03-17,0.75,0:05:12,114,172,adidas adizero Boston 12,run,46.1,
2024-03-18,5.87,0:41:20,127,176,安踏 柏油路霸,run,46.9,
2024-03-19,7.4,1:06:38,140,177,Saucony Triumph 18,run,41.7,
2024-03-20,10.01,0:56:41,146,181,adidas adizero Boston 12,run,46,
2024-03-21,14.01,1:21:42,143,172,乔丹 强风SE,run,47.9,
2024-03-23,8.71,0:54:35,140,164,必迈 惊碳Fly,run,47.5,
2024-03-24,16.43,1:40:03,140,181,adidas adizero Boston 12,run,45.8,
2024-03-25,7.05,0:45:03,133,179,李宁 赤兔6 PRO,run,46.6,
2024-03-26,9.84,1:08:01,137,164,李宁 赤兔6 PRO,run,45,
2024-03-27,10.7,1:00:06,148,180,乔丹 强风SE,run,46.6,
2024-03-28,11.53,1:04:53,149,174,必迈 惊碳Fly,run,47.5,
2024-03-30,7.22,0:50:43,132,170,安踏 柏油路霸,run,43.8,
2024-03-31,15.52,1:17:08,156,186,必迈 惊碳Fly,run,48.6,
2024-04-02,12.02,1:02:41,151,187,必迈 惊碳Fly,run,46.9,
2024-04-02,0.24,0:01:28,111,185,必迈 惊碳Fly,run,46.9,
2024-04-04,16.26,1:30:02,143,184,adidas adizero Boston 12,run,46.1,
2024-04-05,2.29,0:24:59,110,109,安踏 柏油路霸,playground,51.2,
2024-04-06,6.95,0:46:17,129,186,李宁 飞电3 Challenger,run,45.5,
2024-04-07,19.39,1:44:27,148,187,特步 160X 5.0,run,46.5,
2024-04-08,11.84,1:10:44,141,168,乔丹 强风SE,run,48.8,
2024-04-09,6.04,0:43:58,134,175,李宁 赤兔6 PRO,run,43.5,
2024-04-10,7.34,0:37:24,147,185,乔丹 强风SE,run,50.5,
2024-04-11,0.24,0:01:50,123,146,必迈 惊碳Fly,run,46.6,
2024-04-11,10,0:46:27,165,189,必迈 惊碳Fly,run,46.5,
2024-04-11,0.29,0:03:31,128,113,必迈 惊碳Fly,run,46.4,
2024-04-12,4.91,0:31:38,129,177,李宁 赤兔6 PRO,run,46.8,
2024-04-14,21.26,1:41:05,162,192,特步 160X 5.0,race,47,
2024-04-16,7.18,0:51:26,116,173,adidas adizero Boston 12,run,47.5,
2024-04-17,4.55,0:32:21,117,170,李宁 赤兔6 PRO,run,47.3,
2024-04-18,7.55,0:41:01,137,179,必迈 惊碳Fly,run,51.3,
2024-04-19,10.77,1:00:54,144,179,李宁 赤兔6 PRO,run,47.1,
2024-04-20,9.64,1:00:05,132,172,安踏 柏油路霸,run,47.6,
2024-04-21,0.8,0:04:31,147,157,安踏 柏油路霸,playground,46.7,
2024-04-21,0.81,0:07:57,106,172,安踏 柏油路霸,playground,46.8,
2024-04-21,15.77,1:28:30,134,185,adidas adizero Boston 12,run,48.1,
2024-04-23,0.38,0:02:11,120,170,乔丹 强风SE,playground,46.8,
2024-04-23,0.44,0:02:48,130,156,乔丹 强风SE,playground,46.8,
2024-04-23,6.03,0:35:06,138,174,乔丹 强风SE,run,47.7,
2024-04-24,12.08,1:12:45,146,170,必迈 惊碳Fly,run,48.7,
2024-04-25,6,0:34:45,136,169,李宁 赤兔6 PRO,run,49,
2024-04-26,11.58,1:07:48,145,170,必迈 惊碳Fly,run,49.6,
2024-04-27,5.92,0:44:18,111,169,adidas adizero Boston 12,run,47.0,
2024-04-28,21.01,1:56:43,144,184,adidas adizero Boston 12,run,47.4,
2024-04-29,3.74,0:25:22,129,176,李宁 赤兔6 PRO,run,45.7,
2024-04-30,10.69,1:11:10,142,156,李宁 飞电3 Challenger,playground,47.8,R
2024-05-02,10.01,0:59:12,138,181,李宁 赤兔6 PRO,run,49.5,E
2024-05-03,12.3,1:06:04,147,177,必迈 惊碳Fly,run,51.8,T
2024-05-04,0.29,0:02:05,141,183,安踏 柏油路霸,run,47.4,E
2024-05-04,0.53,0:05:12,113,151,安踏 柏油路霸,run,47.4,E
2024-05-04,5.37,0:37:14,121,177,安踏 柏油路霸,run,48.2,E
2024-05-05,20.65,1:49:32,145,191,adidas adizero Boston 12,run,48.8,E
2024-05-06,3.41,0:21:38,120,169,特步 160X 5.0,run,49.9,E
2024-05-07,9.87,0:57:29,142,174,必迈 惊碳Fly,run,50.4,R
2024-05-08,10.46,0:58:00,137,180,必迈 惊碳Fly,run,51.2,E
2024-05-09,8.36,0:58:30,117,177,李宁 赤兔6 PRO,run,48.8,E
2024-05-11,9.46,0:52:16,148,181,特步 160X 5.0,playground,50,I
2024-05-12,9.41,0:48:03,143,188,李宁 赤兔6 PRO,run,49.2,E
2024-05-13,6.41,0:39:04,134,183,adidas adizero Boston 12,run,48.1,E
2024-05-14,12.42,1:16:12,140,172,必迈 惊碳Fly,run,50.6,R
2024-05-15,10.76,0:58:10,138,188,adidas adizero Boston 12,run,51.1,E
2024-05-16,16.41,1:23:21,151,192,特步 160X 5.0,run,48.1,M
2024-05-17,3.42,0:24:18,124,169,乔丹 强风SE,run,47.8,E
2024-05-18,13.18,1:13:13,147,176,特步 160X 5.0,run,49.5,T
2024-05-19,17.45,1:37:43,129,184,adidas adizero Boston 12,run,50.8,E
2024-05-21,10.61,0:58:20,149,173,必迈 惊碳Fly,run,50.1,I
2024-05-22,8.03,0:50:27,134,170,乔丹 强风SE,run,48.8,E
2024-05-23,9.67,0:56:15,142,172,adidas adizero Boston 12,run,49.1,E
2024-05-24,9.96,0:50:12,149,179,特步 160X 5.0,run,51.4,T
2024-05-25,9.76,1:00:05,129,174,必迈 远征者5.0,run,49.6,E
2024-05-26,18.14,1:32:09,150,187,鸿星尔克 芷境2,run,49.8,M
2024-05-27,5.09,0:30:18,127,170,乔丹 飞影Plaid 1.5,run,51.2,E
2024-05-28,11.28,1:05:15,143,166,鸿星尔克 芷境2,run,52.4,I
2024-05-29,10.09,1:09:03,123,178,必迈 远征者5.0,run,49,E
2024-05-29,5.48,0:50:14,118,148,Saucony Triumph 18,run,48.2,E
2024-05-30,10.18,0:55:22,139,190,鸿星尔克 芷境2,run,49.5,E
2024-05-31,8.59,0:52:41,134,179,必迈 远征者5.0,run,47.7,E
2024-06-01,12.8,1:11:29,147,180,鸿星尔克 芷境2,run,49,T
2024-06-02,16.31,1:23:42,145,189,必迈 惊碳Fly,run,50,M
2024-06-04,11.72,1:08:31,139,170,乔丹 飞影Plaid 1.5,run,52.2,I
2024-06-05,9.91,1:06:13,114,172,必迈 远征者5.0,run,50.7,E
2024-06-06,9.53,0:46:16,150,189,特步 160X 5.0,run,50.4,E
2024-06-07,12.21,1:03:13,142,176,乔丹 飞影Plaid 1.5,run,53.4,T
2024-06-08,5.72,0:39:39,118,170,必迈 远征者5.0,run,50.3,E
2024-06-09,16.59,1:31:02,136,180,adidas adizero Boston 12,run,50.6,E
2024-06-10,10.02,0:46:56,149,185,特步 160X 5.0,run,53.1,T
2024-06-11,9.3,1:00:05,123,176,必迈 远征者5.0,run,50.2,E
2024-06-12,9.26,0:54:22,139,166,鸿星尔克 芷境2,run,52.3,I
2024-06-14,12.74,1:08:50,148,172,必迈 惊碳Fly,run,51,T
2024-06-15,9.54,1:05:47,129,174,必迈 远征者5.0,run,47.7,E
2024-06-17,1.25,0:07:09,125,168,adidas adizero Boston 12,run,52.9,E
2024-06-18,13.64,1:18:40,141,170,鸿星尔克 芷境2,run,51,T
2024-06-19,10.04,0:59:09,138,174,adidas adizero Boston 12,run,50.1,E
2024-06-20,12.7,1:16:57,139,160,乔丹 飞影Plaid 1.5,run,52.4,I
2024-06-21,6.24,0:42:41,118,163,特步 160X 5.0,run,51.2,E
2024-06-21,10.02,0:42:51,166,190,乔丹 飞影Plaid 1.5,run,49.9,I
2024-06-23,17.77,1:32:39,140,186,adidas adizero Boston 12,run,50.7,E
2024-06-24,9.99,1:08:09,115,165,adidas adizero Boston 12,run,51.5,E
2024-06-25,10.37,0:55:04,142,180,必迈 惊碳Fly,run,50.8,T
2024-06-26,9.71,0:48:24,145,186,鸿星尔克 芷境2,run,53,E
2024-06-27,0.37,0:01:58,125,173,adidas adizero Boston 12,run,50.6,E
2024-06-27,0.55,0:03:21,109,176,adidas adizero Boston 12,run,50.6,E
2024-06-27,8.59,0:49:02,139,177,adidas adizero Boston 12,run,50.8,E
2024-06-29,15.75,1:09:14,167,191,乔丹 飞影Plaid 1.5,run,48.6,T
2024-06-30,18.03,1:42:22,133,183,adidas adizero Boston 12,run,49.8,E
2024-07-02,10.13,0:54:37,131,185,特步 160X 5.0,run,53.3,E
2024-07-03,10.05,0:53:32,142,183,鸿星尔克 芷境2,run,50.7,E
2024-07-04,16.26,1:17:28,153,189,adidas adizero Boston 12,run,50.9,M
2024-07-05,9.97,0:55:12,146,181,必迈 惊碳Fly,run,49,E
2024-07-07,10.01,0:59:51,134,178,adidas adizero Boston 12,run,48.7,E
2024-07-08,10.61,1:05:12,130,160,鸿星尔克 芷境2,run,54.8,R
2024-07-09,11.65,1:03:00,133,190,乔丹 强风SE 秋冬版,run,51.1,E
2024-07-10,10.6,0:59:48,140,173,特步 160X 5.0,run,54,T
2024-07-11,12.12,1:06:19,135,191,adidas adizero Boston 12,run,50.7,E
2024-07-11,6.39,0:50:26,102,172,adidas adizero Boston 12,run,52.1,E
2024-07-13,14.16,1:12:40,147,187,鸿星尔克 芷境2,run,51.1,E
2024-07-14,22.02,1:53:54,147,189,adidas adizero Boston 12,run,49,E
2024-07-16,10.98,1:03:30,135,179,adidas adizero Boston 12,run,49.9,E
2024-07-17,10.11,1:08:14,131,152,必迈 惊碳Fly,run,57.4,R
2024-07-18,12.43,1:10:00,131,186,必迈 惊碳Fly,run,51,E
2024-07-19,10.14,0:59:55,126,181,特步 160X 5.0,run,51.9,E
2024-07-20,11.76,1:05:59,133,169,必迈 惊碳Fly,run,52.3,T
2024-07-21,20.35,1:55:33,138,184,特步 160X 5.0,run,49.5,E
2024-07-22,9.48,1:03:39,117,169,乔丹 强风SE 秋冬版,run,51.9,E
2024-07-23,10.1,1:11:03,128,146,乔丹 飞影Plaid 1.5,run,54.4,R
2024-07-25,9.68,1:01:10,135,171,乔丹 强风SE 秋冬版,run,50.1,E
2024-07-26,10.87,1:00:17,139,170,鸿星尔克 芷境2,run,52.9,T
2024-07-28,6,0:24:22,169,192,乔丹 飞影Plaid 1.5,run,52.1,I
2024-07-29,12.01,1:15:04,127,167,adidas adizero Boston 12,run,52.1,E
2024-07-29,0.21,0:01:18,102,178,adidas adizero Boston 12,run,52.1,E
2024-07-31,12.17,1:19:42,138,155,特步 160X 5.0,run,52.2,R
2024-08-01,11.97,1:08:52,139,176,adidas adizero Boston 12,run,49.3,E
2024-08-02,12.79,1:18:43,133,169,必迈 惊碳Fly,run,49.7,E
2024-08-03,9.71,0:58:12,141,159,鸿星尔克 芷境2,run,53.4,T
2024-08-04,17.9,1:29:09,149,188,特步 160X 5.0,run,51,M
2024-08-05,13.11,1:07:58,143,187,adidas adizero Boston 12,run,51.3,E
2024-08-07,11.29,1:04:15,137,166,鸿星尔克 芷境2,run,54.9,I
2024-08-08,11.29,1:00:03,146,179,adidas adizero Boston 12,run,53,E
2024-08-09,13.79,1:12:11,147,181,必迈 惊碳Fly,run,52.5,T
2024-08-11,16.14,1:28:35,147,188,adidas adizero Boston 12,run,49.1,E
2024-08-11,10,0:58:38,140,187,必迈 远征者5.0,run,48.6,E
2024-08-12,13.84,1:13:47,138,189,乔丹 强风SE 秋冬版,run,51.1,E
2024-08-13,13.95,1:26:43,139,161,特步 160X 5.0,run,53.6,I
2024-08-14,10.84,1:21:22,115,167,必迈 远征者5.0,run,51.7,E
2024-08-15,14.34,1:22:30,138,166,必迈 惊碳Fly,run,53.4,T
2024-08-17,18.64,1:32:17,152,183,乔丹 飞影Plaid 1.5,run,50.4,M
2024-08-18,21.1,2:01:12,127,183,特步 160X 5.0,run,51.8,E
2024-08-19,12.57,1:12:04,130,181,adidas adizero Boston 12,run,51.7,E
2024-08-20,12.54,1:08:31,130,185,鸿星尔克 芷境2,run,53.5,E
2024-08-21,13.21,1:16:35,139,168,必迈 惊碳Fly,run,54.5,E
2024-08-22,12.52,1:17:25,127,182,乔丹 强风SE 秋冬版,run,50.2,E
2024-08-24,13.15,1:06:26,150,181,鸿星尔克 芷境2,run,51.9,T
2024-08-27,1.24,0:08:19,121,177,Saucony Triumph 18,run,50.2,E
2024-08-28,4.75,0:32:32,127,170,必迈 远征者5.0,run,49.6,E
2024-08-29,9.85,0:56:26,138,179,必迈 远征者5.0,run,49.2,E
2024-08-29,1.57,0:11:13,112,156,adidas adizero Boston 12,run,51.7,E
2024-08-29,6.75,0:53:13,113,170,adidas adizero Boston 12,run,51.7,E
2024-08-29,1.74,0:13:15,115,157,adidas adizero Boston 12,run,51.4,E
2024-08-30,12.13,1:01:47,143,187,adidas adizero Boston 12,run,51.4,E
2024-08-31,13.06,1:12:36,141,175,特步 160X 5.0,run,51.1,E
2024-09-01,18.38,1:36:14,142,183,必迈 惊碳Fly,run,51,E
2024-09-02,12.33,1:05:05,134,187,乔丹 强风SE 秋冬版,run,53,E
