日期,RQ,status,physical power,fatigue
2024-04-23,47.1,1.9,14.4,12.6
2024-04-24,47.1,-2,15.1,17.2
2024-04-25,47.2,-0.4,14.8,15.2
2024-04-26,47.3,-3.8,15.5,19.3
2024-04-27,47.3,-2,15.2,17.1
2024-04-28,47.4,-3.3,15.4,18.7
2024-04-29,47.3,-0.5,15,15.5
2024-04-30,47.3,-3.2,15.5,18.7
2024-05-02,47.5,-0.9,15.1,16
2024-05-03,47.7,-2.8,15.5,18.2
2024-05-04,47.7,-2.8,15.5,18.2
2024-05-05,47.7,-2.8,15.5,18.2
2024-05-06,47.7,-2.8,15.5,18.2
2024-05-07,47.9,-3.2,15.7,18.8
2024-05-08,48.1,-1.8,15.5,17.3
2024-05-09,48.2,-2,15.5,17.5
2024-05-11,48.3,-0.3,15.1,15.4
2024-05-12,48.3,-0.3,15.1,15.4
2024-05-13,48.3,0.1,15,13.9
2024-05-14,48.4,-2.1,15.4,17.6
2024-05-15,48.5,-1.7,15.4,17.1
2024-05-16,48.5,-2.6,15.5,18.1
2024-05-17,48.5,-2.3,15.5,17.8
2024-05-18,48.5,-3.8,15.8,19.6
2024-05-19,48.6,-3.1,15.7,18.9
2024-05-21,48.7,-2.5,15.7,18.1
2024-05-22,48.8,-1.5,15.5,17
2024-05-23,48.8,-1.7,15.5,17.2
2024-05-24,49,-2.7,15.7,18.5
2024-05-25,49,-1.5,15.6,17.1
2024-05-26,49,-3.7,16,19.7
2024-05-27,49.1,-2.1,15.7,17.9
2024-05-28,49.3,-2.9,15.9,18.8
2024-05-29,49.3,-1.9,15.7,17.6
2024-05-30,49.2,-3,16,19
2024-05-31,49.2,-0.9,15.6,16.5
2024-06-01,49.2,-4.2,16.3,20.4
2024-06-02,49.3,-5,16.5,21.4
2024-06-04,49.5,-3.4,16.3,19.7
2024-06-05,49.6,-1.7,16,17.7
2024-06-06,49.6,-2.1,16.1,18.2
2024-06-07,49.8,-2.4,16.2,18.6
2024-06-08,49.8,-1.1,16,17.1
2024-06-09,49.8,-1.6,16.1,17.7
2024-06-10,50,-2.1,16.2,18.2
2024-06-11,50.1,-1,16,16.9
2024-06-12,50.2,-1.5,16,17.5
2024-06-14,50.2,-0.4,15.7,16.2
